Tweet,Sentimen,Label
"tolong tiktokshop jangan ditutup dulu sampe akhir tahun, aku mau beli wishlistðŸ˜­",Netral,1
"kalau tiktok shop bener2 ditutup, tiktok ads akan makin gurih, closing di website/landing page, akan berkurang jg perang harga, jadi mirip facebook ads ðŸ˜",Positif,2
"Anj lahh tiktok shop mau ditutup mana itu research thesis gue lagi, kenapa gak nunggu gue lulus dulu si pak ðŸ˜­ðŸ˜­",Positif,2
sbg yg sering beli barang via tiktokshop drpd toko oren dll si agak sedih juga kalo resmi ditutup mah:( padahal enakeun disana weh satsetsatset,Positif,2
TikTok Shop ditutup gak bikin orang berbondong-bondong ke Tanah Abang juga sih. Paling pindah platform e-commerce aja,Positif,2
Inilah kekuatan negara Cina berdagang yang mampu menyaingi sektor pedagang lainnya seperti UMKM... Sama kejadiannya seperti pekerja Huawei yang dipenjara di AS alasannya karena takut perusahaan AS tersaingi dengan perusahaan Cina. åŠ æ²¹!!! Tapi silahkan kalau TikTok Shop ditutup.,Positif,2
tiktok shop katanya mau ditutup y ðŸ˜”,Negatif,0
gblk dah itu tiktokshop ditutup bgst aku pake topik skripsi apa,Negatif,0
"Nangis bgt tiktok shop mau ditutup.. Gabisa beli Skincare &amp  bodycare dgn harga murah lagi ðŸ˜«"";0;negatif,,,,,,,,,,,,,,,",Negatif,0
"Udah denger berita kalo TikTok Shop mau ditutup sama pemerintah? intinya pemerintah mau platform sosial media tuh hanya digunakan untuk promosi jasa dan produk aja, tidak boleh ada transaksi.   Haduh-haduh-haduh....",Positif,2
"Tiktok shop mau ditutup pemerintah, baru kali ini gak sependapat sama kebijakan pak @jokowi",Positif,2
"#TiktopShop Commerce ditutup? coba dah section commercenya dibuat wajib pajak bukan pkp lagi, coba aja coba.  Aneh jg commerce di tiktokshop belum pkp, setiap dapet invoice ga ada fakturnya.",Negatif,0
"ni kalo tiktok shop ditutup gue beli skincare dimana anjir, di shopee tuh madagascar mahal udahan ðŸ˜­",Negatif,0
Juni kemarin Tiktok Shop jadi sponsor utama pameran buku internasional di Malaysia. Di Indonesia malah tiktok shop ditutup dan kita nggak bisa jualan lagi deh. Banyak banget penjual dan affiliator menangis. Apa ini?,Negatif,0
plis tiktokshop jgn ditutup dulu gue mau beliii ipad di tiktokðŸ˜­ðŸ˜­ðŸ˜­,Positif,2
Koordinat perdebatan tiktokshop ditutup dong thank you,Negatif,0
TikTok Shop sudah membantu pekerjaan saya dan memberikan dampak bagi keluarga saya dan jika ditutup maka akan banyak kendala dalam upaya menghidupi keluarga saya  Mohon atensi Bapak @jokowi   #KamiUMKMdiTikTok,Positif,2
"aku lahir, dunia krisis masuk sd, ganti kepsek masuk smp, ganti kepsek masuk smk, ganti kepsek masuk kuliah, ganti dekan kerja, negara bikin regulasi baru bidang kerjaanku jualan di tiktokshop, ditutup  apa jangan2 aku harus diruwat ya",Positif,2
walopun tiktok shop ditutup dilarang pemerintah tapi kamu masih bisa membuka aurat yang dilarang agama coba kamu renungkan slama 5 detik,Negatif,0
"yg harus ditutup itu seharusnya slot/judi online, bukan #tiktokshop. apa karna pajaknya gede? ðŸ‘€",Negatif,0
baru tau tiktokshop tp udah mau ditutup aja ish,Negatif,0
Kalo tiktokshop ditutup gmn yg lg sibuk kerja disitu ya ? Kayak saya saya ini ðŸ¤£ðŸ¤£ðŸ¤£,Netral,1
Harus cepet-cepet checkout wishlist di tiktokshop nih sebelum ditutup karena harganya suka jauh lebih murah daripada di ecomm,Positif,2
Tiktok shop ditutup aku setuju2 aja karena emang gak sehat. Tapi ya gak bikin dagangan UMKM lokal makin rame sih karena yang menurun daya beli masyarakatnya.,Positif,2
Tiktok shop beneran ditutup?,Negatif,0
trus jika tiktok shop ditutup apa bakal instan pasar langsung rame hmm,Negatif,0
"Ya walaupun jarang beli di tiktok shop, ngape si pake ditutup. Org tinggal menterinya ngajarin/sosialisasi pedagang menghadapi perkembangan jaman. Tinggal artis2nya aja yg dilarang ikut2an",Positif,2
"Tiktok shop ditutup karena mengancam UMKM, berarti yang jualan di Tiktok shop gak dianggap UMKM ðŸ˜‚",Negatif,0
Tiktok shop ditutup ini jadi maksudnya gimana? affiliate nggak bisa bikin promo keranjang kuning ya? atau nggak bisa live jualan lagi? soalnya kulihat masih banyak yang live,Positif,2
"Eh ini nanya beneran ya: kalo tiktokshop ditutup gara2 ada transaksi jual beli langsung di tiktok yg kategorinya medsos, terus apa shopee bukan berarti ecommerce yg menjalar ke medsos dengan shopee livenya? Terus apa kabar facebook groups yg isinya jualan?",Positif,2
