Tweet,preprocessed,Sentimen
"tolong tiktokshop jangan ditutup dulu sampe akhir tahun, aku mau beli wishlistðŸ˜­",tolong tiktok shop jangan ditutup dulu sampai akhir tahun saya mau beli wishlist,Netral
"kalau tiktok shop bener2 ditutup, tiktok ads akan makin gurih, closing di website/landing page, akan berkurang jg perang harga, jadi mirip facebook ads ðŸ˜",kalau tiktok shop benar ditutup tiktok iklan akan makin gurih tutup di websitelanding page akan berkurang juga perang harga jadi mirip facebook iklan,Positif
"Anj lahh tiktok shop mau ditutup mana itu research thesis gue lagi, kenapa gak nunggu gue lulus dulu si pak ðŸ˜­ðŸ˜­",anjing lahh tiktok shop mau ditutup mana itu research thesis saya lagi kenapa tidak nunggu saya lulus dulu si pak,Positif
sbg yg sering beli barang via tiktokshop drpd toko oren dll si agak sedih juga kalo resmi ditutup mah:( padahal enakeun disana weh satsetsatset,sebagai yang sering beli barang melalui tiktok shop daripada toko oren dan lain-lain si agak sedih juga kalau resmi ditutup mah padahal enak disana weh satsetsatset,Positif
TikTok Shop ditutup gak bikin orang berbondong-bondong ke Tanah Abang juga sih. Paling pindah platform e-commerce aja,tiktok shop ditutup tidak bikin orang berbondong bondong ke tanah abang juga sih paling pindah platform e commerce saja,Positif
Inilah kekuatan negara Cina berdagang yang mampu menyaingi sektor pedagang lainnya seperti UMKM... Sama kejadiannya seperti pekerja Huawei yang dipenjara di AS alasannya karena takut perusahaan AS tersaingi dengan perusahaan Cina. åŠ æ²¹!!! Tapi silahkan kalau TikTok Shop ditutup.,inilah kekuatan negara cina berdagang yang mampu menyaingi sektor pedagang lainnya seperti umkm sama kejadiannya seperti pekerja huawei yang dipenjara di as alasannya karena takut perusahaan as tersaingi dengan perusahaan cina tetapi silakan kalau tiktok shop ditutup,Positif
tiktok shop katanya mau ditutup y ðŸ˜”,tiktok shop katanya mau ditutup ya,Negatif
gblk dah itu tiktokshop ditutup bgst aku pake topik skripsi apa,bodoh deh itu tiktok shop ditutup bangsat saya pakai topik skripsi apa,Negatif
"Nangis bgt tiktok shop mau ditutup.. Gabisa beli Skincare &amp  bodycare dgn harga murah lagi ðŸ˜«"";0;negatif,,,,,,,,,,,,,,,",menangis sangat tiktok shop mau ditutup tidak bisa beli skincare amp bodycare dengan harga murah lagi negatif,Negatif
"Udah denger berita kalo TikTok Shop mau ditutup sama pemerintah? intinya pemerintah mau platform sosial media tuh hanya digunakan untuk promosi jasa dan produk aja, tidak boleh ada transaksi.   Haduh-haduh-haduh....",sudah denger berita kalau tiktok shop mau ditutup sama pemerintah intinya pemerintah mau platform sosial media tuh hanya digunakan untuk promosi jasa dan produk saja tidak boleh ada transaksi haduh haduh haduh,Positif
"Tiktok shop mau ditutup pemerintah, baru kali ini gak sependapat sama kebijakan pak @jokowi",tiktok shop mau ditutup pemerintah baru kali ini tidak sependapat sama kebijakan pak,Positif
"#TiktopShop Commerce ditutup? coba dah section commercenya dibuat wajib pajak bukan pkp lagi, coba aja coba.  Aneh jg commerce di tiktokshop belum pkp, setiap dapet invoice ga ada fakturnya.",commerce ditutup coba deh section commercenya dibuat wajib pajak bukan pkp lagi coba saja coba aneh juga commerce di tiktok shop belum pkp setiap dapat invoice tidak ada fakturnya,Negatif
