Tweet,Sentimen,CaseFolding,cleaned,Tokenizing,Formalisasi,Stemming,preprocessed
"tolong tiktokshop jangan ditutup dulu sampe akhir tahun, aku mau beli wishlistðŸ˜­",Netral,"tolong tiktokshop jangan ditutup dulu sampe akhir tahun, aku mau beli wishlistðÿ˜­",tolong tiktok shop jangan ditutup dulu sampe akhir tahun aku mau beli wishlist,"['tolong', 'tiktok', 'shop', 'jangan', 'ditutup', 'dulu', 'sampe', 'akhir', 'tahun', 'aku', 'mau', 'beli', 'wishlist']","['tolong', 'tiktok', 'shop', 'jangan', 'ditutup', 'dulu', 'sampai', 'akhir', 'tahun', 'saya', 'mau', 'beli', 'wishlist']","['tolong', 'tiktok', 'shop', 'jangan', 'tutup', 'dulu', 'sampai', 'akhir', 'tahun', 'saya', 'mau', 'beli', 'wishlist']",tolong tiktok shop jangan ditutup dulu sampai akhir tahun saya mau beli wishlist
"kalau tiktok shop bener2 ditutup, tiktok ads akan makin gurih, closing di website/landing page, akan berkurang jg perang harga, jadi mirip facebook ads ðŸ˜",Positif,"kalau tiktok shop bener2 ditutup, tiktok ads akan makin gurih, closing di website/landing page, akan berkurang jg perang harga, jadi mirip facebook ads ðÿ˜",kalau tiktok shop bener2 ditutup tiktok ads akan makin gurih closing di websitelanding page akan berkurang jg perang harga jadi mirip facebook ads,"['kalau', 'tiktok', 'shop', 'bener2', 'ditutup', 'tiktok', 'ads', 'akan', 'makin', 'gurih', 'closing', 'di', 'websitelanding', 'page', 'akan', 'berkurang', 'jg', 'perang', 'harga', 'jadi', 'mirip', 'facebook', 'ads']","['kalau', 'tiktok', 'shop', 'bener2', 'ditutup', 'tiktok', 'iklan', 'akan', 'makin', 'gurih', 'tutup', 'di', 'websitelanding', 'page', 'akan', 'berkurang', 'juga', 'perang', 'harga', 'jadi', 'mirip', 'facebook', 'iklan']","['kalau', 'tiktok', 'shop', 'bener2', 'tutup', 'tiktok', 'iklan', 'akan', 'makin', 'gurih', 'tutup', 'di', 'websitelanding', 'page', 'akan', 'kurang', 'juga', 'perang', 'harga', 'jadi', 'mirip', 'facebook', 'iklan']",kalau tiktok shop bener2 ditutup tiktok iklan akan makin gurih tutup di websitelanding page akan berkurang juga perang harga jadi mirip facebook iklan
"Anj lahh tiktok shop mau ditutup mana itu research thesis gue lagi, kenapa gak nunggu gue lulus dulu si pak ðŸ˜­ðŸ˜­",Positif,"anj lahh tiktok shop mau ditutup mana itu research thesis gue lagi, kenapa gak nunggu gue lulus dulu si pak ðÿ˜­ðÿ˜­",anj lahh tiktok shop mau ditutup mana itu research thesis gue lagi kenapa gak nunggu gue lulus dulu si pak,"['anj', 'lahh', 'tiktok', 'shop', 'mau', 'ditutup', 'mana', 'itu', 'research', 'thesis', 'gue', 'lagi', 'kenapa', 'gak', 'nunggu', 'gue', 'lulus', 'dulu', 'si', 'pak']","['anjing', 'lahh', 'tiktok', 'shop', 'mau', 'ditutup', 'mana', 'itu', 'research', 'thesis', 'saya', 'lagi', 'kenapa', 'tidak', 'nunggu', 'saya', 'lulus', 'dulu', 'si', 'pak']","['anjing', 'lahh', 'tiktok', 'shop', 'mau', 'tutup', 'mana', 'itu', 'research', 'thesis', 'saya', 'lagi', 'kenapa', 'tidak', 'nunggu', 'saya', 'lulus', 'dulu', 'si', 'pak']",anjing lahh tiktok shop mau ditutup mana itu research thesis saya lagi kenapa tidak nunggu saya lulus dulu si pak
sbg yg sering beli barang via tiktokshop drpd toko oren dll si agak sedih juga kalo resmi ditutup mah:( padahal enakeun disana weh satsetsatset,Positif,sbg yg sering beli barang via tiktokshop drpd toko oren dll si agak sedih juga kalo resmi ditutup mah:( padahal enakeun disana weh satsetsatset,sbg yg sering beli barang via tiktok shop drpd toko oren dll si agak sedih juga kalo resmi ditutup mah padahal enakeun disana weh satsetsatset,"['sbg', 'yg', 'sering', 'beli', 'barang', 'via', 'tiktok', 'shop', 'drpd', 'toko', 'oren', 'dll', 'si', 'agak', 'sedih', 'juga', 'kalo', 'resmi', 'ditutup', 'mah', 'padahal', 'enakeun', 'disana', 'weh', 'satsetsatset']","['sebagai', 'yang', 'sering', 'beli', 'barang', 'melalui', 'tiktok', 'shop', 'daripada', 'toko', 'oren', 'dan lain-lain', 'si', 'agak', 'sedih', 'juga', 'kalau', 'resmi', 'ditutup', 'mah', 'padahal', 'enak', 'disana', 'weh', 'satsetsatset']","['bagai', 'yang', 'sering', 'beli', 'barang', 'lalu', 'tiktok', 'shop', 'daripada', 'toko', 'oren', 'dan lain', 'si', 'agak', 'sedih', 'juga', 'kalau', 'resmi', 'tutup', 'mah', 'padahal', 'enak', 'sana', 'weh', 'satsetsatset']",sebagai yang sering beli barang melalui tiktok shop daripada toko oren dan lain-lain si agak sedih juga kalau resmi ditutup mah padahal enak disana weh satsetsatset
TikTok Shop ditutup gak bikin orang berbondong-bondong ke Tanah Abang juga sih. Paling pindah platform e-commerce aja,Positif,tiktok shop ditutup gak bikin orang berbondong-bondong ke tanah abang juga sih. paling pindah platform e-commerce aja,tiktok shop ditutup gak bikin orang berbondong bondong ke tanah abang juga sih paling pindah platform e commerce aja,"['tiktok', 'shop', 'ditutup', 'gak', 'bikin', 'orang', 'berbondong', 'bondong', 'ke', 'tanah', 'abang', 'juga', 'sih', 'paling', 'pindah', 'platform', 'e', 'commerce', 'aja']","['tiktok', 'shop', 'ditutup', 'tidak', 'bikin', 'orang', 'berbondong', 'bondong', 'ke', 'tanah', 'abang', 'juga', 'sih', 'paling', 'pindah', 'platform', 'e', 'commerce', 'saja']","['tiktok', 'shop', 'tutup', 'tidak', 'bikin', 'orang', 'bondong', 'bondong', 'ke', 'tanah', 'abang', 'juga', 'sih', 'paling', 'pindah', 'platform', 'e', 'commerce', 'saja']",tiktok shop ditutup tidak bikin orang berbondong bondong ke tanah abang juga sih paling pindah platform e commerce saja
Inilah kekuatan negara Cina berdagang yang mampu menyaingi sektor pedagang lainnya seperti UMKM... Sama kejadiannya seperti pekerja Huawei yang dipenjara di AS alasannya karena takut perusahaan AS tersaingi dengan perusahaan Cina. åŠ æ²¹!!! Tapi silahkan kalau TikTok Shop ditutup.,Positif,inilah kekuatan negara cina berdagang yang mampu menyaingi sektor pedagang lainnya seperti umkm... sama kejadiannya seperti pekerja huawei yang dipenjara di as alasannya karena takut perusahaan as tersaingi dengan perusahaan cina. åš æ²¹!!! tapi silahkan kalau tiktok shop ditutup.,inilah kekuatan negara cina berdagang yang mampu menyaingi sektor pedagang lainnya seperti umkm sama kejadiannya seperti pekerja huawei yang dipenjara di as alasannya karena takut perusahaan as tersaingi dengan perusahaan cina tapi silahkan kalau tiktok shop ditutup,"['inilah', 'kekuatan', 'negara', 'cina', 'berdagang', 'yang', 'mampu', 'menyaingi', 'sektor', 'pedagang', 'lainnya', 'seperti', 'umkm', 'sama', 'kejadiannya', 'seperti', 'pekerja', 'huawei', 'yang', 'dipenjara', 'di', 'as', 'alasannya', 'karena', 'takut', 'perusahaan', 'as', 'tersaingi', 'dengan', 'perusahaan', 'cina', 'tapi', 'silahkan', 'kalau', 'tiktok', 'shop', 'ditutup']","['inilah', 'kekuatan', 'negara', 'cina', 'berdagang', 'yang', 'mampu', 'menyaingi', 'sektor', 'pedagang', 'lainnya', 'seperti', 'umkm', 'sama', 'kejadiannya', 'seperti', 'pekerja', 'huawei', 'yang', 'dipenjara', 'di', 'as', 'alasannya', 'karena', 'takut', 'perusahaan', 'as', 'tersaingi', 'dengan', 'perusahaan', 'cina', 'tetapi', 'silakan', 'kalau', 'tiktok', 'shop', 'ditutup']","['ini', 'kuat', 'negara', 'cina', 'dagang', 'yang', 'mampu', 'saing', 'sektor', 'dagang', 'lain', 'seperti', 'umkm', 'sama', 'jadi', 'seperti', 'kerja', 'huawei', 'yang', 'penjara', 'di', 'as', 'alas', 'karena', 'takut', 'usaha', 'as', 'saing', 'dengan', 'usaha', 'cina', 'tetapi', 'sila', 'kalau', 'tiktok', 'shop', 'tutup']",inilah kekuatan negara cina berdagang yang mampu menyaingi sektor pedagang lainnya seperti umkm sama kejadiannya seperti pekerja huawei yang dipenjara di as alasannya karena takut perusahaan as tersaingi dengan perusahaan cina tetapi silakan kalau tiktok shop ditutup
tiktok shop katanya mau ditutup y ðŸ˜”,Negatif,tiktok shop katanya mau ditutup y ðÿ˜”,tiktok shop katanya mau ditutup y,"['tiktok', 'shop', 'katanya', 'mau', 'ditutup', 'y']","['tiktok', 'shop', 'katanya', 'mau', 'ditutup', 'ya']","['tiktok', 'shop', 'kata', 'mau', 'tutup', 'ya']",tiktok shop katanya mau ditutup ya
gblk dah itu tiktokshop ditutup bgst aku pake topik skripsi apa,Negatif,gblk dah itu tiktokshop ditutup bgst aku pake topik skripsi apa,gblk dah itu tiktok shop ditutup bgst aku pake topik skripsi apa,"['gblk', 'dah', 'itu', 'tiktok', 'shop', 'ditutup', 'bgst', 'aku', 'pake', 'topik', 'skripsi', 'apa']","['bodoh', 'deh', 'itu', 'tiktok', 'shop', 'ditutup', 'bangsat', 'saya', 'pakai', 'topik', 'skripsi', 'apa']","['bodoh', 'deh', 'itu', 'tiktok', 'shop', 'tutup', 'bangsat', 'saya', 'pakai', 'topik', 'skripsi', 'apa']",bodoh deh itu tiktok shop ditutup bangsat saya pakai topik skripsi apa
"Nangis bgt tiktok shop mau ditutup.. Gabisa beli Skincare &amp  bodycare dgn harga murah lagi ðŸ˜«"";0;negatif,,,,,,,,,,,,,,,",Negatif,"nangis bgt tiktok shop mau ditutup.. gabisa beli skincare &amp  bodycare dgn harga murah lagi ðÿ˜«"";0;negatif,,,,,,,,,,,,,,,",nangis bgt tiktok shop mau ditutup gabisa beli skincare amp bodycare dgn harga murah lagi 0negatif,"['nangis', 'bgt', 'tiktok', 'shop', 'mau', 'ditutup', 'gabisa', 'beli', 'skincare', 'amp', 'bodycare', 'dgn', 'harga', 'murah', 'lagi', '0negatif']","['menangis', 'sangat', 'tiktok', 'shop', 'mau', 'ditutup', 'tidak bisa', 'beli', 'skincare', 'amp', 'bodycare', 'dengan', 'harga', 'murah', 'lagi', '0negatif']","['menang', 'sangat', 'tiktok', 'shop', 'mau', 'tutup', 'tidak bisa', 'beli', 'skincare', 'amp', 'bodycare', 'dengan', 'harga', 'murah', 'lagi', '0negatif']",menangis sangat tiktok shop mau ditutup tidak bisa beli skincare amp bodycare dengan harga murah lagi 0negatif
"Udah denger berita kalo TikTok Shop mau ditutup sama pemerintah? intinya pemerintah mau platform sosial media tuh hanya digunakan untuk promosi jasa dan produk aja, tidak boleh ada transaksi.   Haduh-haduh-haduh....",Positif,"udah denger berita kalo tiktok shop mau ditutup sama pemerintah? intinya pemerintah mau platform sosial media tuh hanya digunakan untuk promosi jasa dan produk aja, tidak boleh ada transaksi.   haduh-haduh-haduh....",udah denger berita kalo tiktok shop mau ditutup sama pemerintah intinya pemerintah mau platform sosial media tuh hanya digunakan untuk promosi jasa dan produk aja tidak boleh ada transaksi haduh haduh haduh,"['udah', 'denger', 'berita', 'kalo', 'tiktok', 'shop', 'mau', 'ditutup', 'sama', 'pemerintah', 'intinya', 'pemerintah', 'mau', 'platform', 'sosial', 'media', 'tuh', 'hanya', 'digunakan', 'untuk', 'promosi', 'jasa', 'dan', 'produk', 'aja', 'tidak', 'boleh', 'ada', 'transaksi', 'haduh', 'haduh', 'haduh']","['sudah', 'denger', 'berita', 'kalau', 'tiktok', 'shop', 'mau', 'ditutup', 'sama', 'pemerintah', 'intinya', 'pemerintah', 'mau', 'platform', 'sosial', 'media', 'tuh', 'hanya', 'digunakan', 'untuk', 'promosi', 'jasa', 'dan', 'produk', 'saja', 'tidak', 'boleh', 'ada', 'transaksi', 'haduh', 'haduh', 'haduh']","['sudah', 'denger', 'berita', 'kalau', 'tiktok', 'shop', 'mau', 'tutup', 'sama', 'perintah', 'inti', 'perintah', 'mau', 'platform', 'sosial', 'media', 'tuh', 'hanya', 'guna', 'untuk', 'promosi', 'jasa', 'dan', 'produk', 'saja', 'tidak', 'boleh', 'ada', 'transaksi', 'haduh', 'haduh', 'haduh']",sudah denger berita kalau tiktok shop mau ditutup sama pemerintah intinya pemerintah mau platform sosial media tuh hanya digunakan untuk promosi jasa dan produk saja tidak boleh ada transaksi haduh haduh haduh
